City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,mackenzie,55.2999,-123.1698,17.6,93,1,4.61,CA,2021-03-15 06:15:01
70,tamandare,-8.7597,-35.1047,76.32,77,100,4.43,BR,2021-03-15 06:15:58
71,ambilobe,-13.2,49.05,83.93,77,24,1.99,MG,2021-03-15 06:09:48
72,yellowknife,62.456,-114.3525,5.0,78,90,8.05,CA,2021-03-15 06:08:01
73,mount isa,-20.7333,139.5,86.0,48,40,11.5,AU,2021-03-15 06:10:35
74,chokurdakh,70.6333,147.9167,-14.33,92,0,5.99,RU,2021-03-15 06:07:59
75,tual,-5.6667,132.75,83.77,68,94,5.75,ID,2021-03-15 06:16:00
76,albany,42.6001,-73.9662,21.0,29,19,4.0,US,2021-03-15 06:07:27
77,piney green,34.716,-77.3202,60.8,27,1,11.5,US,2021-03-15 06:16:00
78,wenzhou,27.9994,120.6668,78.01,21,1,8.37,CN,2021-03-15 06:16:01
79,norman wells,65.282,-126.8329,-9.4,77,75,8.05,CA,2021-03-15 06:15:37
80,cidreira,-30.1811,-50.2056,72.01,86,36,5.66,BR,2021-03-15 06:08:24
81,puerto escondido,15.85,-97.0667,80.6,74,20,5.5,MX,2021-03-15 06:16:01
82,braco do norte,-28.275,-49.1656,67.39,98,61,1.95,BR,2021-03-15 06:16:02
83,porto novo,6.4965,2.6036,78.8,89,20,4.61,BJ,2021-03-15 06:10:10
84,sisimiut,66.9395,-53.6735,5.13,87,76,10.4,GL,2021-03-15 06:16:03
85,puerto ayora,-0.7393,-90.3518,75.0,96,57,1.01,EC,2021-03-15 06:07:44
86,bethel,41.3712,-73.414,23.0,46,2,14.9,US,2021-03-15 06:07:36
87,monrovia,6.3005,-10.7969,75.2,88,75,3.44,LR,2021-03-15 06:14:50
88,cap malheureux,-19.9842,57.6142,77.0,91,92,3.0,MU,2021-03-15 06:15:51
89,avera,33.194,-82.5271,66.2,77,1,6.91,US,2021-03-15 06:07:22
90,nanortalik,60.1432,-45.2371,29.8,83,100,3.71,GL,2021-03-15 06:09:12
91,mar del plata,-38.0023,-57.5575,66.99,88,0,4.61,AR,2021-03-15 06:08:35
92,saskylakh,71.9167,114.0833,-15.75,91,97,6.6,RU,2021-03-15 06:08:49
93,sitka,57.0531,-135.33,30.2,55,90,11.5,US,2021-03-15 06:08:10
94,hermanus,-34.4187,19.2345,62.01,96,94,3.0,ZA,2021-03-15 06:07:38
95,arraial do cabo,-22.9661,-42.0278,75.94,87,100,13.56,BR,2021-03-15 06:14:10
96,severo-kurilsk,50.6789,156.125,36.14,87,29,10.71,RU,2021-03-15 06:08:21
97,airai,-8.9266,125.4092,69.98,85,100,0.87,TL,2021-03-15 06:08:04
98,kaitangata,-46.2817,169.8464,60.01,68,78,10.0,NZ,2021-03-15 06:08:28
99,kapaa,22.0752,-159.319,69.8,88,90,12.66,US,2021-03-15 06:08:06
100,fujin,47.26,132.0322,44.22,61,86,18.61,CN,2021-03-15 06:16:07
101,butaritari,3.0707,172.7902,81.21,78,68,16.11,KI,2021-03-15 06:08:05
102,oshnaviyeh,37.0397,45.0983,41.0,65,90,2.3,IR,2021-03-15 06:16:08
103,mathbaria,22.2876,89.9593,94.5,20,0,4.18,BD,2021-03-15 06:16:09
104,tczew,54.0924,18.7779,34.0,100,82,8.5,PL,2021-03-15 06:16:09
105,pravia,43.4906,-6.1508,43.0,93,0,4.61,ES,2021-03-15 06:16:09
106,wajir,1.7471,40.0573,78.39,64,35,9.89,KE,2021-03-15 06:10:48
107,vila,42.0304,-8.1588,39.0,92,26,3.85,PT,2021-03-15 06:16:10
108,port hardy,50.6996,-127.4199,37.4,86,40,9.22,CA,2021-03-15 06:08:52
109,khatanga,71.9667,102.5,-19.19,90,100,11.97,RU,2021-03-15 06:13:16
110,port alfred,-33.5906,26.891,69.01,96,99,1.9,ZA,2021-03-15 06:08:20
111,vestmannaeyjar,63.4427,-20.2734,42.04,84,100,23.38,IS,2021-03-15 06:10:32
112,akyab,20.15,92.9,86.47,32,0,11.79,MM,2021-03-15 06:13:57
113,tiksi,71.6872,128.8694,-2.33,96,99,4.79,RU,2021-03-15 06:08:30
114,ancud,-41.8697,-73.8203,53.01,93,90,3.44,CL,2021-03-15 06:07:42
115,ilulissat,69.2167,-51.1,10.4,61,100,6.91,GL,2021-03-15 06:15:30
116,clyde river,70.4692,-68.5914,-5.8,84,1,26.46,CA,2021-03-15 06:07:53
117,san patricio,28.017,-97.5169,57.99,88,75,4.21,US,2021-03-15 06:14:06
118,livingston,55.9029,-3.5226,39.0,93,0,6.91,GB,2021-03-15 06:16:12
119,victoria,22.2855,114.1577,78.8,57,20,8.05,HK,2021-03-15 06:15:32
120,richards bay,-28.783,32.0377,76.71,75,15,9.42,ZA,2021-03-15 06:09:23
