City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,atuona,-9.8,-139.0333,80.56,69,14,10.67,PF,2021-03-15 06:18:21
69,nizwa,22.9333,57.5333,82.74,28,0,7.78,OM,2021-03-15 06:15:43
70,nikolskoye,59.7035,30.7861,32.0,100,90,2.24,RU,2021-03-15 06:18:00
71,kaitangata,-46.2817,169.8464,60.01,66,77,8.01,NZ,2021-03-15 06:19:11
72,kapaa,22.0752,-159.319,69.8,88,90,12.66,US,2021-03-15 06:18:29
73,esperance,-33.8667,121.9,75.2,33,72,12.66,AU,2021-03-15 06:18:03
74,saint anthony,45.0205,-93.218,37.4,51,1,9.22,US,2021-03-15 06:09:29
75,cap malheureux,-19.9842,57.6142,77.0,91,92,3.0,MU,2021-03-15 06:15:51
76,rikitea,-23.1203,-134.9692,80.15,77,72,7.36,PF,2021-03-15 06:17:57
77,port elizabeth,-33.918,25.5701,68.0,100,40,8.05,ZA,2021-03-15 06:09:23
78,santa isabel do rio negro,-0.4139,-65.0192,74.34,91,96,1.57,BR,2021-03-15 06:18:12
79,jawhar,2.7809,45.5005,86.79,51,82,13.58,SO,2021-03-15 06:19:17
80,punta arenas,-53.15,-70.9167,48.2,93,90,2.3,CL,2021-03-15 06:19:18
81,souillac,-20.5167,57.5167,77.0,94,75,6.91,MU,2021-03-15 06:19:18
82,arraial do cabo,-22.9661,-42.0278,75.94,87,100,13.56,BR,2021-03-15 06:14:10
83,salalah,17.0151,54.0924,84.2,45,0,3.44,OM,2021-03-15 06:15:24
84,roald,62.5833,6.1333,35.01,100,75,5.75,NO,2021-03-15 06:19:19
85,chuy,-33.6971,-53.4616,61.45,86,0,2.35,UY,2021-03-15 06:19:20
86,todos santos,23.45,-110.2167,62.01,39,1,6.98,MX,2021-03-15 06:19:20
87,takoradi,4.8845,-1.7554,76.5,84,100,9.55,GH,2021-03-15 06:19:21
88,torbay,47.6666,-52.7314,24.01,93,90,11.5,CA,2021-03-15 06:15:07
89,xining,36.6167,101.7667,60.46,8,46,4.43,CN,2021-03-15 06:16:28
90,luderitz,-26.6481,15.1594,64.0,77,0,20.58,NA,2021-03-15 06:18:38
91,ilulissat,69.2167,-51.1,10.4,61,100,6.91,GL,2021-03-15 06:15:30
92,geraldton,-28.7667,114.6,96.8,12,68,8.05,AU,2021-03-15 06:19:22
93,ndele,8.4109,20.6473,78.31,66,70,9.95,CF,2021-03-15 06:19:22
94,hope,33.6671,-93.5916,53.01,77,77,4.21,US,2021-03-15 06:15:03
95,harper,4.375,-7.7169,76.95,88,100,4.9,LR,2021-03-15 06:16:48
96,vardo,70.3705,31.1107,28.4,93,75,11.5,NO,2021-03-15 06:13:09
97,severo-kurilsk,50.6789,156.125,36.14,87,29,10.71,RU,2021-03-15 06:19:23
98,bluff,-46.6,168.3333,57.0,65,45,17.0,NZ,2021-03-15 06:17:57
99,port alfred,-33.5906,26.891,70.0,96,99,1.9,ZA,2021-03-15 06:19:24
100,kochki,54.3358,80.4806,5.61,93,100,9.57,RU,2021-03-15 06:19:25
101,hithadhoo,-0.6,73.0833,84.61,61,55,6.11,MV,2021-03-15 06:19:25
102,asau,46.4333,26.4,42.01,61,100,3.69,RO,2021-03-15 06:10:11
103,dingle,10.9995,122.6711,86.85,68,15,8.63,PH,2021-03-15 06:10:17
104,kodiak,57.79,-152.4072,28.4,69,40,4.61,US,2021-03-15 06:18:41
105,luanda,-8.8368,13.2343,77.0,88,75,3.44,AO,2021-03-15 06:16:20
106,san patricio,28.017,-97.5169,57.99,88,75,4.21,US,2021-03-15 06:14:06
107,preobrazheniye,42.9019,133.9064,45.82,56,26,8.37,RU,2021-03-15 06:19:27
108,kavaratti,10.5669,72.642,83.41,67,25,7.38,IN,2021-03-15 06:19:24
109,constitucion,-35.3333,-72.4167,55.22,90,93,3.67,CL,2021-03-15 06:19:28
110,villanueva,15.3167,-88.0,72.0,88,0,1.14,HN,2021-03-15 06:19:29
111,yerbogachen,61.2767,108.0108,15.21,85,100,17.11,RU,2021-03-15 06:19:29
112,pochutla,15.7432,-96.4661,80.6,74,20,2.98,MX,2021-03-15 06:16:18
113,provideniya,64.3833,-173.3,20.21,96,100,6.51,RU,2021-03-15 06:18:01
114,yei,4.095,30.6779,80.46,53,78,0.78,SS,2021-03-15 06:17:20
115,singaraja,-8.112,115.0882,84.38,74,60,3.65,ID,2021-03-15 06:19:30
116,umea,63.8284,20.2597,28.4,100,90,1.54,SE,2021-03-15 06:10:05
117,bathsheba,13.2167,-59.5167,78.8,73,20,11.5,BB,2021-03-15 06:14:05
118,iqaluit,63.7506,-68.5145,-14.8,70,75,31.07,CA,2021-03-15 06:19:09
119,adre,13.4667,22.2,78.06,9,6,8.14,TD,2021-03-15 06:14:35
120,marsa matruh,31.3525,27.2453,55.4,88,40,5.75,EG,2021-03-15 06:15:39
121,airai,-8.9266,125.4092,70.36,85,94,0.25,TL,2021-03-15 06:19:02
122,tilichiki,60.4667,166.1,2.68,87,89,1.61,RU,2021-03-15 06:19:32
123,fare,-16.7,-151.0167,82.9,76,44,14.07,PF,2021-03-15 06:10:55
124,quatre cocos,-20.2078,57.7625,77.0,94,75,6.91,MU,2021-03-15 06:19:33
125,norman wells,65.282,-126.8329,-9.4,77,75,8.05,CA,2021-03-15 06:15:37
126,acapulco,16.8634,-99.8901,73.02,81,0,4.18,MX,2021-03-15 06:13:55
127,boksitogorsk,59.474,33.8485,36.0,92,100,57.0,RU,2021-03-15 06:19:34
128,jamestown,42.097,-79.2353,21.0,63,1,11.45,US,2021-03-15 06:19:12
129,sumbe,-11.2061,13.8437,79.56,88,100,6.24,AO,2021-03-15 06:15:27
130,le port,-20.9373,55.2919,86.0,70,0,8.05,RE,2021-03-15 06:14:46
131,pocone,-16.2567,-56.6228,72.75,88,81,3.74,BR,2021-03-15 06:19:36
