City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
653,abonnema,NG,77.0,4.7084,6.7931,Corper's Lodge Obonoma
655,lat yao,TH,86.0,15.751,99.7893,ห้างหุ้นส่วนจำกัด ลาดยาวการเกษตร
660,taoudenni,ML,89.37,22.6783,-3.9836,Hotels
661,puerto padre,CU,80.6,21.195,-76.6028,El Paseo
664,tucuman,AR,78.8,-26.8241,-65.2226,Dallas Hotel Tucuman
666,palmeiras de goias,BR,76.57,-16.805,-49.9258,Hotel Água Virada
668,cap malheureux,MU,77.0,-19.9842,57.6142,Pereybere Hotel & Spa
670,sabang,ID,83.21,5.8933,95.3214,Hotel Citra
672,prieska,ZA,83.93,-29.6641,22.7474,Avenue GuestHouse
673,cockburn town,TC,75.02,21.4612,-71.1419,Osprey Beach Hotel
674,singaraja,ID,79.68,-8.112,115.0882,Puri Bagus Lovina Resort
675,port hedland,AU,80.6,-20.3167,118.5667,The Esplanade Hotel
680,harlingen,US,80.01,26.1906,-97.6961,Courtyard by Marriott Harlingen
681,sapa,PH,81.46,5.1544,120.3241,Hotels
683,acurenam,GQ,77.43,1.0322,10.6488,Hotels
687,mecca,SA,84.65,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
688,yenagoa,NG,80.44,4.9247,6.2642,Aridolf Resort Wellness and Spa
694,gulu,UG,80.51,2.7746,32.299,ACHOLI INN
699,pemangkat,ID,77.76,1.1667,108.9667,Kost H.Syamsuddin
702,huarmey,PE,77.4,-10.0681,-78.1522,Hotel Miramar
705,bacabal,BR,86.02,-4.2917,-44.7917,Rancho Sol Nascente
707,harper,LR,81.46,4.375,-7.7169,Screensaver
708,mana,GF,75.51,5.6592,-53.7767,LE SAMANA
709,beaumont,US,75.2,30.0861,-94.1019,Super 8 by Wyndham Beaumont
710,moa,CU,79.38,20.6569,-74.9403,Renta en Divisa
