City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
326,swan hill,AU,76.21,-35.3378,143.5544,Lazy River Motor Inn
332,namatanai,PG,84.13,-3.6667,152.4333,Namatanai Hotel
333,tulsipur,NP,85.08,28.131,82.2973,Ekanta Hotel Pvt. Ltd
337,port blair,IN,86.0,11.6667,92.75,Welcomhotel Bay Island Port Blair
339,yeppoon,AU,78.8,-23.1333,150.7333,Villa Mar Colina
351,horizonte,BR,82.4,-4.1,-38.4833,OYO Pousada Horizonte
367,linqiong,CN,81.0,30.4159,103.4609,Tianlun Tanxianglou Hotel
370,atuona,PF,80.15,-9.8,-139.0333,Villa Enata
371,east london,ZA,75.2,-33.0153,27.9116,Tu Casa
375,launceston,AU,78.01,-41.45,147.1667,Hotel Grand Chancellor Launceston
379,thinadhoo,MV,83.35,0.5333,72.9333,Hotels
381,hambantota,LK,87.8,6.1241,81.1185,Bungalow 63
383,vinh,VN,81.07,18.6667,105.6667,Khách Sạn Thương Mại
386,saint-leu,RE,81.0,-21.15,55.2833,La Caz Oceane
387,wanning,CN,77.05,18.8003,110.3967,Paradise Hotel
391,tucuma,BR,75.04,-0.1833,-50.05,Hotels
392,cayenne,GF,78.01,4.9333,-52.3333,Hôtel Le Dronmi
395,cam ranh,VN,82.4,11.9214,109.1591,OYO 598 Peony Hotel
403,itarema,BR,76.3,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
407,shangrao,CN,80.17,28.4532,117.9686,Boyue boutique Hotel
417,xuddur,SO,79.07,4.1213,43.8894,Banjanay Hotel
422,samarai,PG,82.76,-10.6167,150.6667,Nuli Sapi
430,sinnamary,GF,76.82,5.3833,-52.95,ALETHEIA Appartement Sinnamary
437,boa vista,BR,78.8,2.8197,-60.6733,Aipana Plaza Hotel
439,puerto armuelles,PA,76.14,8.2833,-82.8667,Big Daddy's Beach Club & Hotel
442,the valley,AI,75.2,18.217,-63.0578,CeBlue Villas & Beach Resort
446,celestun,MX,77.34,20.8667,-90.4,Posada Lilia
448,matara,LK,88.47,5.9485,80.5353,Amaloh Boutique Resort
